id_equipo;vida_util_consumida;tasa_incidencias_tecnicas;tiempo_inactividad_acumulado;costo_mto_reactivo_acumulado;ubicacion_activo;estado_integridad_hardware;tipo_equipo
63;7045;7;1845;8674;UDLAPARK;Regular;Servidor
64;477;0;0;428;UDLAPARK;Bueno;Proyector
65;955;0;0;2326;UDLAPARK;Excelente;Computadora de Escritorio
66;3886;1;293;3522;UDLAPARK;Bueno;Servidor
67;1147;0;0;926;UDLAPARK;Excelente;Computadora de Escritorio
68;6219;2;731;14692;UDLAPARK;Regular;Laptop
69;1301;0;0;1242;UDLAPARK;Excelente;Computadora de Escritorio
70;8775;5;1823;17937;GRANADOS;Critico;Laptop
71;590;3;932;10056;COLON;Regular;Laptop
72;1669;0;0;2887;UDLAPARK;Excelente;Proyector
73;1917;0;0;758;UDLAPARK;Excelente;Proyector
74;5996;2;41;9255;UDLAPARK;Regular;Impresora
75;6585;2;627;1465;UDLAPARK;Regular;Computadora de Escritorio
76;6425;5;1392;8853;UDLAPARK;Regular;Computadora de Escritorio
77;6248;5;963;9529;UDLAPARK;Regular;Servidor
78;1634;0;0;842;COLON;Excelente;Laptop
79;4379;0;0;7496;UDLAPARK;Bueno;Proyector
80;1149;0;0;1955;GRANADOS;Excelente;Laptop
81;8129;7;1796;28435;UDLAPARK;Critico;Computadora de Escritorio
82;4931;1;32;5811;UDLAPARK;Bueno;Computadora de Escritorio
83;152;0;0;1624;UDLAPARK;Excelente;Computadora de Escritorio
84;1329;0;0;2663;UDLAPARK;Excelente;Computadora de Escritorio
85;1612;0;0;2413;GRANADOS;Excelente;Proyector
86;1992;0;0;1541;UDLAPARK;Excelente;Computadora de Escritorio
87;5395;2;624;10306;UDLAPARK;Regular;Proyector
88;2752;1;298;6632;UDLAPARK;Bueno;Computadora de Escritorio
89;9287;7;1552;21714;UDLAPARK;Critico;Computadora de Escritorio
90;4266;0;0;3037;UDLAPARK;Bueno;Computadora de Escritorio
91;1454;0;0;2655;UDLAPARK;Excelente;Proyector
92;636;6;914;10223;UDLAPARK;Regular;Computadora de Escritorio
93;6738;4;1314;1389;UDLAPARK;Regular;Proyector
94;5334;1;322;3499;GRANADOS;Bueno;Computadora de Escritorio
95;6328;3;1163;14667;UDLAPARK;Regular;Computadora de Escritorio
96;4794;0;0;7976;UDLAPARK;Bueno;Servidor
97;4962;0;0;3662;UDLAPARK;Bueno;Computadora de Escritorio
98;4007;0;0;6045;UDLAPARK;Bueno;Impresora
99;1456;0;0;2427;UDLAPARK;Excelente;Impresora
100;1273;0;0;182;GRANADOS;Excelente;Laptop
101;1359;0;0;795;UDLAPARK;Excelente;Proyector
102;4985;1;173;6312;UDLAPARK;Bueno;Laptop
103;1312;0;0;1752;UDLAPARK;Excelente;Servidor
104;2956;1;201;2935;UDLAPARK;Bueno;Laptop
105;7621;3;98;19437;UDLAPARK;Critico;Computadora de Escritorio
106;759;0;0;2842;UDLAPARK;Excelente;Computadora de Escritorio
107;2804;0;0;2862;GRANADOS;Bueno;Computadora de Escritorio
108;649;2;704;841;GRANADOS;Regular;Computadora de Escritorio
109;1964;0;0;261;UDLAPARK;Excelente;Computadora de Escritorio
110;615;0;0;1284;GRANADOS;Excelente;Proyector
111;250;0;0;1768;UDLAPARK;Excelente;Proyector
112;1719;0;0;2784;UDLAPARK;Excelente;Laptop
113;8128;4;1324;35149;UDLAPARK;Critico;Computadora de Escritorio
114;5896;7;1598;13029;UDLAPARK;Regular;Computadora de Escritorio
115;4793;1;204;4136;UDLAPARK;Bueno;Laptop
116;8619;4;1582;24777;UDLAPARK;Critico;Proyector
117;6644;3;837;11038;UDLAPARK;Regular;Laptop
118;1093;0;0;371;UDLAPARK;Excelente;Computadora de Escritorio
119;8053;5;1012;27297;UDLAPARK;Critico;Laptop
120;436;1;375;2986;UDLAPARK;Bueno;Laptop
121;6206;2;432;1145;UDLAPARK;Regular;Laptop
122;8973;6;2187;22722;GRANADOS;Critico;Computadora de Escritorio
123;956;0;0;2197;UDLAPARK;Excelente;Servidor
124;250;0;0;2687;UDLAPARK;Excelente;Computadora de Escritorio
125;1716;0;0;1211;UDLAPARK;Excelente;Computadora de Escritorio
126;3426;1;269;6582;UDLAPARK;Bueno;Laptop
127;6698;4;723;8625;UDLAPARK;Regular;Proyector
128;8794;7;1197;3982;UDLAPARK;Critico;Computadora de Escritorio
129;2005;0;0;1174;UDLAPARK;Excelente;Laptop
130;2935;0;0;6322;UDLAPARK;Bueno;Proyector
131;550;1;293;7122;UDLAPARK;Bueno;Laptop
132;1549;0;0;57;GRANADOS;Excelente;Laptop
133;1598;0;0;135;COLON;Excelente;Computadora de Escritorio
134;1769;0;0;87;GRANADOS;Excelente;Laptop
135;816;3;829;35428;UDLAPARK;Critico;Computadora de Escritorio
136;1474;0;0;38;GRANADOS;Excelente;Proyector
137;5248;1;379;2804;GRANADOS;Bueno;Computadora de Escritorio
138;500;0;0;790;UDLAPARK;Regular;Proyector
139;3099;0;0;4657;UDLAPARK;Bueno;Laptop
140;7908;6;1309;35795;COLON;Critico;Impresora
141;8632;3;1158;24127;UDLAPARK;Critico;Computadora de Escritorio
142;1498;0;0;2266;GRANADOS;Excelente;Computadora de Escritorio
143;5167;1;397;6394;GRANADOS;Bueno;Computadora de Escritorio
144;217;0;0;647;UDLAPARK;Excelente;Computadora de Escritorio
145;250;0;0;1331;UDLAPARK;Excelente;Proyector
146;50;0;0;115;GRANADOS;Excelente;Servidor
147;3734;1;191;2741;COLON;Bueno;Computadora de Escritorio
148;4254;1;193;6006;GRANADOS;Bueno;Proyector
149;1151;0;0;1168;UDLAPARK;Excelente;Proyector
150;1621;0;0;117;UDLAPARK;Excelente;Computadora de Escritorio
151;868;7;2038;2348;UDLAPARK;Critico;Computadora de Escritorio
152;1718;0;0;2554;GRANADOS;Excelente;Servidor
153;1275;0;0;1352;UDLAPARK;Excelente;Computadora de Escritorio
154;4539;2;668;5428;UDLAPARK;Bueno;Laptop
155;8942;3;697;33011;GRANADOS;Critico;Computadora de Escritorio
156;103;0;0;2265;GRANADOS;Excelente;Laptop
157;7141;0;0;10008;COLON;Regular;Computadora de Escritorio
158;800;3;705;10813;UDLAPARK;Regular;Computadora de Escritorio
159;868;0;0;324;COLON;Excelente;Computadora de Escritorio
160;6545;5;1126;11626;UDLAPARK;Regular;Computadora de Escritorio
161;267;0;0;2314;UDLAPARK;Bueno;Impresora
162;4496;0;0;6878;UDLAPARK;Bueno;Proyector
163;2994;2;559;4292;UDLAPARK;Bueno;Laptop
164;4703;0;0;4553;UDLAPARK;Bueno;Servidor
165;1048;0;0;1363;GRANADOS;Excelente;Computadora de Escritorio
166;7617;3;559;953;COLON;Regular;Servidor
167;1351;0;0;1192;UDLAPARK;Excelente;Laptop
168;674;0;0;155;UDLAPARK;Excelente;Proyector
169;1219;0;0;1727;COLON;Excelente;Laptop
170;4046;1;205;3207;COLON;Bueno;Computadora de Escritorio
171;6829;3;829;7244;UDLAPARK;Regular;Computadora de Escritorio
172;1764;0;0;2255;UDLAPARK;Excelente;Computadora de Escritorio
173;2165;3;603;4028;UDLAPARK;Bueno;Servidor
174;1651;0;0;2265;UDLAPARK;Excelente;Computadora de Escritorio
175;377;1;303;4598;UDLAPARK;Bueno;Impresora
176;985;0;0;2106;UDLAPARK;Excelente;Computadora de Escritorio
177;6188;2;588;13336;UDLAPARK;Regular;Laptop
178;455;1;223;2868;UDLAPARK;Bueno;Laptop
179;9238;11;3458;37377;UDLAPARK;Critico;Servidor
180;1034;0;0;1247;GRANADOS;Excelente;Computadora de Escritorio
181;157;0;0;2238;UDLAPARK;Excelente;Computadora de Escritorio
182;1533;0;0;233;UDLAPARK;Excelente;Laptop
183;8038;7;1671;25179;UDLAPARK;Critico;Impresora
184;9493;5;908;38316;GRANADOS;Critico;Computadora de Escritorio
185;98;0;0;1914;GRANADOS;Excelente;Laptop
186;785;4;871;9285;UDLAPARK;Regular;Computadora de Escritorio
187;635;1;349;11505;UDLAPARK;Regular;Laptop
188;3718;1;178;6057;GRANADOS;Bueno;Laptop
189;4774;0;0;6885;UDLAPARK;Bueno;Laptop
190;1968;0;0;2802;UDLAPARK;Excelente;Proyector
191;186;0;0;1329;UDLAPARK;Excelente;Computadora de Escritorio
192;9892;6;2263;3855;UDLAPARK;Critico;Proyector
193;8605;5;1487;28303;UDLAPARK;Critico;Laptop
194;3947;2;745;4304;GRANADOS;Bueno;Servidor
195;973;0;0;1362;GRANADOS;Excelente;Proyector
196;1466;0;0;57;UDLAPARK;Excelente;Computadora de Escritorio
197;800;6;1575;8595;UDLAPARK;Regular;Computadora de Escritorio
198;8777;2;452;3427;UDLAPARK;Critico;Laptop
199;8403;7;1569;22003;UDLAPARK;Critico;Proyector
200;6088;2;632;10049;GRANADOS;Regular;Laptop
201;2999;1;17;4508;COLON;Bueno;Computadora de Escritorio
202;1011;0;0;264;UDLAPARK;Excelente;Computadora de Escritorio
203;1851;0;0;1212;UDLAPARK;Excelente;Impresora
204;9682;9;1947;27376;UDLAPARK;Critico;Laptop
205;5339;0;0;6391;UDLAPARK;Bueno;Proyector
206;1517;0;0;795;UDLAPARK;Excelente;Proyector
207;105;0;0;30;UDLAPARK;Excelente;Servidor
208;7636;3;1114;1193;UDLAPARK;Regular;Computadora de Escritorio
209;112;0;0;2429;GRANADOS;Excelente;Laptop
210;1832;0;0;1324;GRANADOS;Excelente;Computadora de Escritorio
211;2971;2;53;6044;UDLAPARK;Bueno;Servidor
212;6096;2;799;13019;UDLAPARK;Regular;Proyector
213;7245;1;369;8613;UDLAPARK;Regular;Proyector
214;1698;0;0;2506;UDLAPARK;Excelente;Laptop
215;6851;3;664;11041;UDLAPARK;Regular;Computadora de Escritorio
216;1917;0;0;2374;UDLAPARK;Excelente;Computadora de Escritorio
217;1185;0;0;2621;UDLAPARK;Excelente;Proyector
218;6959;4;612;9405;UDLAPARK;Regular;Laptop
219;4504;2;531;5295;COLON;Bueno;Computadora de Escritorio
220;500;4;609;10685;UDLAPARK;Regular;Computadora de Escritorio
221;6911;2;416;11278;UDLAPARK;Regular;Computadora de Escritorio
222;2587;1;318;6524;UDLAPARK;Bueno;Laptop
223;1114;0;0;793;UDLAPARK;Excelente;Servidor
224;3954;2;591;441;COLON;Bueno;Computadora de Escritorio
225;1135;0;0;1297;UDLAPARK;Excelente;Computadora de Escritorio
226;1971;0;0;567;GRANADOS;Excelente;Laptop
227;8187;3;986;1928;UDLAPARK;Critico;Proyector
228;3155;0;0;4855;UDLAPARK;Bueno;Laptop
229;8091;4;856;24505;UDLAPARK;Critico;Computadora de Escritorio
230;3079;1;321;2118;GRANADOS;Bueno;Proyector
231;7592;6;2226;8656;UDLAPARK;Regular;Computadora de Escritorio
232;3955;3;529;2673;UDLAPARK;Bueno;Computadora de Escritorio
233;4983;2;393;2598;UDLAPARK;Bueno;Laptop
234;4369;1;237;3075;GRANADOS;Bueno;Laptop
235;1289;0;0;2868;UDLAPARK;Excelente;Computadora de Escritorio
236;500;5;861;11872;UDLAPARK;Regular;Laptop
237;158;0;0;228;GRANADOS;Excelente;Computadora de Escritorio
238;89;0;0;567;UDLAPARK;Excelente;Laptop
239;4191;1;303;7635;GRANADOS;Bueno;Computadora de Escritorio
240;2392;0;0;1382;UDLAPARK;Excelente;Computadora de Escritorio
241;8688;5;1491;19668;UDLAPARK;Critico;Servidor
242;9153;3;559;15836;UDLAPARK;Critico;Proyector
243;9634;6;1936;28351;UDLAPARK;Critico;Laptop
244;5053;0;0;7346;UDLAPARK;Bueno;Laptop
245;132;0;0;185;UDLAPARK;Excelente;Laptop
246;9516;4;821;21857;UDLAPARK;Critico;Proyector
247;3713;0;0;5061;UDLAPARK;Bueno;Computadora de Escritorio
248;8065;5;1052;24963;UDLAPARK;Critico;Servidor
249;8433;5;1672;32493;UDLAPARK;Critico;Computadora de Escritorio
250;9104;8;1343;24741;GRANADOS;Critico;Servidor
251;714;0;0;2617;UDLAPARK;Excelente;Laptop
252;3158;1;324;2634;GRANADOS;Bueno;Proyector
253;8261;3;813;27526;UDLAPARK;Critico;Computadora de Escritorio
254;1181;0;0;1129;GRANADOS;Excelente;Computadora de Escritorio
255;1581;0;0;602;UDLAPARK;Excelente;Proyector
256;5196;0;0;3349;UDLAPARK;Bueno;Laptop
257;9188;5;799;22636;GRANADOS;Critico;Laptop
258;6573;0;0;1265;GRANADOS;Regular;Laptop
259;5482;1;25;548;COLON;Bueno;Impresora
260;1291;0;0;1522;UDLAPARK;Excelente;Impresora
261;3646;0;0;5324;UDLAPARK;Bueno;Proyector
262;8805;6;217;25673;UDLAPARK;Critico;Computadora de Escritorio
263;188;0;0;2427;GRANADOS;Excelente;Proyector
264;3328;0;0;680;UDLAPARK;Bueno;Laptop
265;757;4;1081;27471;UDLAPARK;Critico;Proyector
266;5954;1;33;13161;UDLAPARK;Regular;Computadora de Escritorio
267;7295;3;59;8005;UDLAPARK;Regular;Laptop
268;7222;6;1368;12103;UDLAPARK;Regular;Laptop
269;3095;2;318;7597;UDLAPARK;Bueno;Impresora
270;1944;0;0;1476;GRANADOS;Excelente;Proyector
271;5919;2;588;14402;UDLAPARK;Regular;Impresora
272;5798;7;2391;971;UDLAPARK;Regular;Computadora de Escritorio
273;9617;7;2691;28559;GRANADOS;Critico;Servidor
274;8581;3;64;27935;UDLAPARK;Critico;Computadora de Escritorio
275;4082;2;507;7582;GRANADOS;Bueno;Laptop
276;2616;0;0;6055;UDLAPARK;Bueno;Servidor
277;7045;3;1071;9015;GRANADOS;Regular;Laptop
278;4661;3;723;4118;GRANADOS;Bueno;Laptop
279;7145;3;852;13169;GRANADOS;Regular;Impresora
280;7407;4;615;1412;UDLAPARK;Regular;Computadora de Escritorio
281;9289;7;2084;27594;GRANADOS;Critico;Proyector
282;1801;0;0;167;UDLAPARK;Excelente;Servidor
283;3954;0;0;3992;UDLAPARK;Bueno;Laptop
284;2064;0;0;1565;COLON;Excelente;Servidor
285;4485;0;0;3185;UDLAPARK;Bueno;Laptop
286;1981;0;0;858;UDLAPARK;Excelente;Laptop
287;3333;1;165;4233;GRANADOS;Bueno;Computadora de Escritorio
288;3456;1;291;4193;COLON;Bueno;Computadora de Escritorio
289;1578;0;0;2412;UDLAPARK;Excelente;Laptop
290;3681;0;0;2506;UDLAPARK;Bueno;Proyector
291;1988;0;0;2153;GRANADOS;Excelente;Computadora de Escritorio
292;1965;0;0;125;UDLAPARK;Excelente;Impresora
293;5687;4;769;7243;UDLAPARK;Regular;Proyector
294;3706;1;302;4709;COLON;Bueno;Computadora de Escritorio
295;1362;0;0;1302;UDLAPARK;Excelente;Proyector
296;3711;2;566;2551;UDLAPARK;Bueno;Proyector
297;6324;0;0;7869;UDLAPARK;Regular;Impresora
298;134;0;0;2624;GRANADOS;Excelente;Laptop
299;3199;0;0;5069;UDLAPARK;Bueno;Proyector
300;1072;0;0;2018;UDLAPARK;Excelente;Proyector
301;1157;0;0;2225;GRANADOS;Excelente;Servidor
302;3591;1;297;5424;UDLAPARK;Bueno;Laptop
303;3608;2;675;2815;UDLAPARK;Bueno;Computadora de Escritorio
304;550;2;522;3117;UDLAPARK;Bueno;Proyector
305;5367;5;1117;7267;UDLAPARK;Regular;Computadora de Escritorio
306;9581;5;1872;38668;UDLAPARK;Critico;Impresora
307;3548;0;0;5644;UDLAPARK;Bueno;Laptop
308;868;0;0;96;GRANADOS;Excelente;Computadora de Escritorio
309;7118;5;759;8921;UDLAPARK;Regular;Computadora de Escritorio
310;1892;0;0;531;UDLAPARK;Excelente;Computadora de Escritorio
311;3449;3;454;7909;UDLAPARK;Bueno;Proyector
312;1734;0;0;1978;UDLAPARK;Excelente;Proyector
313;1341;0;0;299;COLON;Excelente;Proyector
314;916;5;751;33929;COLON;Critico;Servidor
315;636;4;1375;11214;UDLAPARK;Regular;Impresora
316;7588;1;296;884;UDLAPARK;Regular;Computadora de Escritorio
317;5052;2;768;6844;GRANADOS;Bueno;Computadora de Escritorio
318;2058;0;0;2949;UDLAPARK;Excelente;Laptop
319;1365;0;0;2935;UDLAPARK;Excelente;Proyector
320;805;0;0;1967;UDLAPARK;Excelente;Computadora de Escritorio
321;4073;1;339;3362;UDLAPARK;Bueno;Computadora de Escritorio
322;6196;3;737;11713;GRANADOS;Regular;Computadora de Escritorio
323;5976;5;1077;11095;UDLAPARK;Regular;Computadora de Escritorio
324;1245;0;0;789;UDLAPARK;Excelente;Servidor
325;8756;2;606;17355;GRANADOS;Critico;Proyector
326;800;0;0;14125;GRANADOS;Regular;Computadora de Escritorio
327;4967;3;918;4762;UDLAPARK;Bueno;Computadora de Escritorio
328;3981;0;0;5895;UDLAPARK;Bueno;Computadora de Escritorio
329;3613;2;612;6679;GRANADOS;Bueno;Proyector
330;1528;0;0;2574;UDLAPARK;Excelente;Laptop
331;377;0;0;6773;UDLAPARK;Bueno;Computadora de Escritorio
332;6845;2;717;11428;GRANADOS;Regular;Impresora
333;50;0;0;377;UDLAPARK;Excelente;Laptop
334;1217;0;0;1494;UDLAPARK;Excelente;Laptop
335;929;0;0;727;UDLAPARK;Excelente;Computadora de Escritorio
336;153;0;0;2288;UDLAPARK;Excelente;Computadora de Escritorio
337;9647;8;1472;3076;UDLAPARK;Critico;Proyector
338;7128;0;0;8815;COLON;Regular;Proyector
339;4763;0;0;5128;UDLAPARK;Bueno;Computadora de Escritorio
340;1895;0;0;964;UDLAPARK;Excelente;Impresora
341;4491;0;0;5776;COLON;Bueno;Laptop
342;3499;0;0;5422;UDLAPARK;Bueno;Computadora de Escritorio
343;1774;0;0;1626;UDLAPARK;Excelente;Servidor
344;5018;3;464;5274;GRANADOS;Bueno;Proyector
345;3522;0;0;3984;UDLAPARK;Bueno;Computadora de Escritorio
346;4453;2;687;3996;UDLAPARK;Bueno;Computadora de Escritorio
347;4282;0;0;3909;UDLAPARK;Bueno;Computadora de Escritorio
348;637;0;0;48;GRANADOS;Excelente;Computadora de Escritorio
349;316;0;0;7611;UDLAPARK;Bueno;Computadora de Escritorio
350;4677;1;368;2504;GRANADOS;Bueno;Proyector
351;492;2;536;4388;UDLAPARK;Bueno;Computadora de Escritorio
352;9535;4;1522;27006;GRANADOS;Critico;Computadora de Escritorio
353;6141;5;885;10423;UDLAPARK;Regular;Computadora de Escritorio
354;2031;0;0;431;UDLAPARK;Excelente;Computadora de Escritorio
355;1409;0;0;2622;UDLAPARK;Excelente;Proyector
356;550;0;0;7467;UDLAPARK;Bueno;Computadora de Escritorio
357;194;0;0;707;UDLAPARK;Excelente;Laptop
358;3243;0;0;3688;COLON;Bueno;Computadora de Escritorio
359;886;5;1067;38891;UDLAPARK;Critico;Computadora de Escritorio
360;3829;0;0;4484;UDLAPARK;Bueno;Servidor
361;4868;2;647;2998;GRANADOS;Bueno;Proyector
362;398;0;0;4103;UDLAPARK;Bueno;Proyector
363;4146;0;0;743;UDLAPARK;Bueno;Computadora de Escritorio
364;3171;2;544;547;GRANADOS;Bueno;Laptop
365;8348;8;196;35464;UDLAPARK;Critico;Servidor
366;3909;1;241;7427;UDLAPARK;Bueno;Computadora de Escritorio
367;886;7;2559;37336;UDLAPARK;Critico;Computadora de Escritorio
368;8796;8;2691;27633;GRANADOS;Critico;Proyector
369;50;0;0;836;UDLAPARK;Excelente;Computadora de Escritorio
370;2118;0;0;2919;UDLAPARK;Excelente;Impresora
371;1806;0;0;462;GRANADOS;Excelente;Proyector
372;72;0;0;712;UDLAPARK;Excelente;Computadora de Escritorio
373;1247;0;0;1678;UDLAPARK;Excelente;Computadora de Escritorio
374;6692;5;1798;7829;UDLAPARK;Regular;Computadora de Escritorio
375;1284;0;0;109;UDLAPARK;Excelente;Computadora de Escritorio
376;250;0;0;1368;UDLAPARK;Excelente;Laptop
377;7345;5;1345;1495;GRANADOS;Regular;Computadora de Escritorio
378;1894;0;0;2505;UDLAPARK;Excelente;Computadora de Escritorio
379;6361;2;562;1104;UDLAPARK;Regular;Computadora de Escritorio
380;2169;0;0;2734;UDLAPARK;Excelente;Laptop
381;952;0;0;2395;UDLAPARK;Excelente;Computadora de Escritorio
382;500;4;1035;9357;UDLAPARK;Regular;Computadora de Escritorio
383;2227;0;0;6617;UDLAPARK;Bueno;Computadora de Escritorio
384;8683;2;769;3069;UDLAPARK;Critico;Computadora de Escritorio
385;6074;3;674;7281;UDLAPARK;Regular;Servidor
386;6189;0;0;9544;GRANADOS;Regular;Proyector
387;74;0;0;2139;UDLAPARK;Excelente;Computadora de Escritorio
388;50;0;0;1668;UDLAPARK;Excelente;Impresora
389;800;5;1599;13988;UDLAPARK;Regular;Computadora de Escritorio
390;5874;3;1119;7246;GRANADOS;Regular;Laptop
391;8877;4;705;30312;GRANADOS;Critico;Laptop
392;3527;2;777;7193;UDLAPARK;Bueno;Proyector
393;382;1;296;650;UDLAPARK;Bueno;Proyector
394;5549;2;786;7943;COLON;Regular;Servidor
395;142;0;0;2115;UDLAPARK;Excelente;Proyector
396;8654;11;3915;25246;COLON;Critico;Computadora de Escritorio
397;1000;5;1721;30646;UDLAPARK;Critico;Computadora de Escritorio
398;2936;0;0;6201;UDLAPARK;Bueno;Computadora de Escritorio
399;587;2;631;1429;UDLAPARK;Regular;Proyector
400;6669;5;169;8121;UDLAPARK;Regular;Computadora de Escritorio
401;1625;0;0;2623;UDLAPARK;Excelente;Computadora de Escritorio
402;750;6;2157;2813;UDLAPARK;Critico;Proyector
403;550;1;242;4184;COLON;Bueno;Proyector
404;7452;4;1494;10802;COLON;Regular;Computadora de Escritorio
405;1617;0;0;2804;UDLAPARK;Excelente;Computadora de Escritorio
406;9499;4;1482;2611;UDLAPARK;Critico;Computadora de Escritorio
407;4654;0;0;329;UDLAPARK;Bueno;Computadora de Escritorio
408;991;0;0;42;GRANADOS;Excelente;Proyector
409;8972;4;1332;25986;UDLAPARK;Critico;Computadora de Escritorio
410;1972;0;0;214;GRANADOS;Excelente;Laptop
411;1907;0;0;2865;UDLAPARK;Excelente;Computadora de Escritorio
412;8243;8;3164;17406;UDLAPARK;Critico;Computadora de Escritorio
413;9199;7;1549;19886;UDLAPARK;Critico;Impresora
414;550;0;0;3387;UDLAPARK;Bueno;Proyector
415;427;1;264;3062;GRANADOS;Bueno;Computadora de Escritorio
416;4541;0;0;6539;GRANADOS;Bueno;Servidor
417;896;0;0;1459;UDLAPARK;Excelente;Computadora de Escritorio
418;1217;0;0;496;GRANADOS;Excelente;Servidor
419;6622;5;1283;1185;UDLAPARK;Regular;Computadora de Escritorio
420;5259;3;1013;9713;GRANADOS;Regular;Laptop
421;6409;4;954;1086;UDLAPARK;Regular;Computadora de Escritorio
422;6056;3;61;7046;UDLAPARK;Regular;Servidor
423;189;0;0;2877;UDLAPARK;Excelente;Proyector
424;4527;3;615;2053;GRANADOS;Bueno;Computadora de Escritorio
425;2075;0;0;2458;UDLAPARK;Excelente;Laptop
426;3501;0;0;4451;UDLAPARK;Bueno;Computadora de Escritorio
427;3741;0;0;2401;COLON;Bueno;Laptop
428;8927;5;1555;33938;UDLAPARK;Critico;Laptop
429;4415;2;401;4578;UDLAPARK;Bueno;Laptop
430;1921;0;0;2864;UDLAPARK;Excelente;Computadora de Escritorio
431;153;0;0;2774;UDLAPARK;Excelente;Servidor
432;800;2;482;9043;UDLAPARK;Regular;Proyector
433;4061;2;727;4828;UDLAPARK;Bueno;Computadora de Escritorio
434;1735;0;0;386;UDLAPARK;Excelente;Computadora de Escritorio
435;1964;0;0;161;UDLAPARK;Excelente;Laptop
436;6667;4;1309;8075;UDLAPARK;Regular;Laptop
437;1774;0;0;324;UDLAPARK;Excelente;Laptop
438;6603;2;677;11201;UDLAPARK;Regular;Computadora de Escritorio
